No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,image,gender
1,HRMN-0001,glitch,mykonos,249000,50,XDP,"Sicilian Bergamot, Apple, Grapefruit, Charred Pineapple.","Lavender, Artemesia, Lily Of The Valley, Pink Pepper, Vanilla, Dried Jasmine","White Musk, Cedarwood, Moss, Amber, Patchouli, Smoky Notes",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/21/ffc957a7-c3ad-454f-a8b3-4c12552eeda2.jpg,Unisex
2,HRMN-0002,invade,mykonos,249000,50,XDP,"Pink Pepper, Lavender Absolute, Juniper.","Cashmeran, Cinnamon Bark, Caramel","Amber, Madagascar Vanilla, Drywoods",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/21/0afe14ce-ec24-4ab4-bbb9-f7d4013c312b.jpg,Unisex
3,HRMN-0003,Cafe Drops,mykonos,189000,50,XDP,"Orchid, Jasmine, Coffee","Vanilla, Caramel, Tonka Bean, Milk","Amber, Musk, Wood, Patchouli",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/11/58f9069b-6318-4286-9ec4-83163591b603.jpg,Unisex
4,HRMN-0004,Pink Drops,mykonos,189000,50,XDP,"Strawberry Preserve, Almond, Caramel","Milk, Heliotrope","Vanilla, White Musk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/11/8ac3e33d-7cfb-48e4-8332-784da45064db.jpg,Female
5,HRMN-0005,Pandan Sticky Rice,mykonos,169000,50,XDP,"Rice, Almond, Lactonic","Jasmine, Ylang Ylang, Iily Of The Valley, Pandan","Ambery, Vanilla, Sandalwood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/8/e3a659c6-9c3e-4204-869c-aa81e5f38ec7.png,Unisex
6,HRMN-0006,Down to Earth,mykonos,169000,50,XDP,"Fig, Matcha Green Tea, Bergamot, Incense, Cinnamon","Cashmere Wood, Orange, Figolide, Milky, Orcanox","Vetiver, Sandalwood, Santamanol, Cedar",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/7/6/62d4af12-e685-4f3a-975e-0328d0a0efa7.jpg,Male
7,HRMN-0007,Tea Poetry,mykonos,299000,100,XDP,"Rose, Jasmine, Ylang-Ylang","Candied Fruit, Balsam, Orange Flower, Pepper, Smoked Black Tea","Honey, Smoked Black Tea, Cedarwood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/6/5/b31cf003-f829-412c-8ead-d0f3f7ff4a10.png,Female
8,HRMN-0008,Milk Drops,mykonos,199000,50,XDP,"Floral Bouquet, Milk","Milk, Green Notes","Tonka Bean, White Musk, White Wood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/5/14/8f14a271-636f-4fb9-aa9c-cfbb6f978ddd.jpg,Unisex
9,HRMN-0009,Utopia,mykonos,299000,100,XDP,"Calabrian Bergamot, White Tea, Fruits, Citrus","Iris, Jasmine Sambac, Ylang-Ylang","Cedarwood, White Musk",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/3/14/35021578-5c14-47f8-9f7d-a0280ceca899.jpg,Unisex
10,HRMN-0010,Intimate,mykonos,299000,100,XDP,"Raspberry Sorbet, Pink Pepper","Rose, Peony, Patchouli","Vanilla, Cashemere",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/2/12/feedbdc8-923c-4e8b-b60e-46781eaf705d.jpg,Female
