perfume,brand,top notes,mid notes,base notes
Accento Overdose Pride Edition,Xerjoff,"Fruity Notes, Aldehydes, Green Notes","Bulgarian Rose, Egyptian Jasmine, Lily-of-the-valley","Eucalyptus, Pine"
Classique Pride 2024,Jean Paul Gaultier,"Yuzu, Citruses","Orange Blossom, Neroli","Musk, Blonde Woods"
Classique Pride 2023,Jean Paul Gaultier,"Blood Orange, Yuzu","Neroli, Orange Blossom","Musk, White Woods"
Pride Edition Man,Bruno Banani,"Guarana, Grapefruit, Red Apple","Walnut, Lavender, Guava","Vetiver, Benzoin, Amber"
Le Male Pride Collector,Jean Paul Gaultier,"Mint, Lavender, Cardamom, Artemisia, Bergamot","Caraway, Cinnamon, Orange Blossom","Vanilla, Sandalwood, Amber, Cedar, Tonka Bean"
Le Male Pride 2023,Jean Paul Gaultier,"Yuzu, Blood Orange","Neroli, Orange Blossom","Musk, White Woods"
Le Male Pride 2024,Jean Paul Gaultier,"Citruses, Yuzu","Neroli, Orange Blossom","Woodsy Notes, Musk"
Polo Red Pride Edition,Ralph Lauren,"Cranberry, Pink Grapefruit, Citron","Clary Sage, Lavender, Saffron","Amberwood, Brazilian Redwood, Coffee"
Ralph Pride Edition,Ralph Lauren,"Tangerine, Green Apple, Freesia","Magnolia, Lime (linden Blossom), Osmanthus","Musk, White Iris"
Waffle,We Pink,"Strawberry, Almond, Raspberry","Butter, Peach Blossom, Violet","Praline, Vanilla, Musk"
Le Male Pride Edition,Jean Paul Gaultier,"Blood Orange, Yuzu","Neroli, Orange Blossom","Musk, White Woods"
Rouge Imperiale,Vivamor Parfums,"Saffron, Bulgarian Rose","Australian Sandalwood, Iris, Jasmine","Suede, Bourbon Vanilla, Texas Cedar"
Cherry Lady,Brocard,"Watermelon, Mango, Papaya, Pineapple, Peach, Lemon","Lotus, Hibiscus","Musk, Sandalwood, Amber"
French Kiss,Bybozo,"Lemon Verbena, Neroli","Fig, Corn, Magnolia, Saffron, Barberry, Cherry Blossom","Pear Wood, Meringue, Amber"
Erba Oud,Sospiro Perfumes,"Orange, Bergamot, Lemon","Melon, Saffron, Peach, Apple","Agarwood (oud), Leather, Vanilla, Amber, White Musk"
Donald Trump,Trump,"Cucumber, Black Basil, Mint, Citruses","Spicy Notes, Pepper, Herbal Notes, Woody Notes","Spicy Notes, Exotic Woods, Vetiver"
School,Rook Perfumes,"Concrete, Woody Notes, Ozonic Notes, Moss","Rubber, Paper, Olibanum","Coffee, Cedar"
Glamour Gold Glam,O Boticario,"Raspberry, Neroli, Bergamot","Jasmine, Orange Blossom, Tuberose","Clearwood, Amber, Sandalwood, Patchouli, Cistus Incanus"
Clean Simply Soap,Clean,"Bergamot, Frangipani","Lotus, Violet, Rose",Musk
Visionair Midnight Blue,Michael Malul London,"Watermelon, Lavender, Bergamot","Lotus, Jasmine","Musk, Sandalwood, Amber"
Malbec Sport,O Boticario,"Nutmeg, Cardamom, Lime, Bergamot, Mandarin Orange, Juniper","Lavender, Geranium, Head Space Waterfall, Sage","Leather, Patchouli, Sandalwood, Musk, Amber, Cedar, Moss, Vetiver, Tonka Bean"
Cyber Sex,Filippo Sorcinelli,"Juniper Berries, Pink Grapefruit, Mandarin Orange, Neroli","Rosemary, Spices, Cyclamen, Lavender, Almond Blossom","Ambrette (musk Mallow), Vetiver, Cedar, Precious Woods, Vanilla, Tonka Bean"
Classique Pride Edition,Jean Paul Gaultier,"Yuzu, Blood Orange","Neroli, Orange Blossom","Musk, White Wood"
Oud Imperium,Navitus Parfums,"Apple, Lavender, Lemon","Jasmine, Vanilla, Woody Notes, Lily-of-the-valley","Agarwood (oud), Amber, Tonka Bean, Sandalwood, Cypriol Oil or Nagarmotha, Musk, Guaiac Wood"
Vetiver,Franck Boclet,"Bergamot, Lemon, Orange","Vetiver, Orange Blossom, Lily-of-the-valley, Rose, Jasmine","Vetiver, Musk, Sandalwood, Cedar, Chive"
Cristina La Veneno Veneno Pa Tu Piel,Ricardo Ramos Perfumes De Autor,"Tonic Water, Gin, Berry Fruits","Vinyl, Blood, Saffron, Turkish Rose","Madagascar Vanilla, Musk, Galbanum, Sandalwood"
Quickie and Coffee,Filippo Sorcinelli,"Coffee, Honey, Pine","Animal Notes, Saffron, Marine Notes, Jasmine","Musk, Ambrette, Amber"
Orangerie Mimosa,Faberlic,Mimosa,Red Lily,"Iris, Tonka Bean"
Aventhis,In the Box,"Bergamot, Pineapple, Apple, Black Currant Leaf","Birch, Patchouli, Red Berries, Jasmine","Oakmoss, Musk, Amber, Vanilla"
212 Heroes Collector Edition,Carolina Herrera,"Pear, Cannabis, Lemon Zest, Ginger",African Geranium,"Leather, Woodsy Notes"
Wild Carrot Oud,Bohoboco,"Carrot, Cinnamon, Bergamot","Agarwood (oud), Dry Wood, Cedar, Tobacco","Earthy Notes, Leather, Styrax"
Titaniks,Dzintars,"Watery Notes, Bergamot, Grapefruit","Seaweed, Myrtle, Iris","Pine Tree, Woody Notes, Amber"
Neroli,Aaron Terence Hughes,Neroli,Jasmine Sambac,Sandalwood
Snow Palace,Brocard,"Ozonic Notes, Aquatic Notes, Aldehydes","White Musk, Lily of the Valley, Bergamot","Sandalwood, Amber"
Neroli Outrenoir 2024,Guerlain,"Petitgrain, Bergamot, Lemon, Tangerine, Grapefruit","Tea, Neroli, Earthy Notes, Orange Blossom, Smoke","Benzoin, Vanilla, Ambrette (musk Mallow), Myrrh, Moss"
Santal Rouge,Il Profvmo,Bitter Orange,"Sandalwood, Carnation, Red Berries","Clove, Brazilian Rosewood"
Oud Luxuria,Navitus Parfums,"Turkish Rose, Saffron, Leather, Red Berries, Orange, Cinnamon","Geranium, Rose, Jasmine, Osmanthus","Agarwood (oud), Incense, Musk, Labdanum, Amber"
Diesel Green Feminine Special Edition,Diesel,"Lime, Ginger, Cinnamon","Carnation, Orange Blossom, Jasmine, Rose","Cedar, Sandalwood, Amber, Musk"
Whispers of Temptation,House of Sillage,"Black Currant, Plum, Cardamom","Saffron, Rose Petals, Night Blooming Jasmine","Suede, Agarwood (oud), Australian Sandalwood"
Dodo Edition 2020,Zoologist Perfumes,"Rosemary, Petitgrain, Bergamot, Pink Pepper","Black Currant, Pineapple, Clary Sage, Cardamom","Cumin, Basil, Lavender, Musk, Geranium, Oakmoss, Patchouli, Tonka Bean, Oak"
Oshi,Bi Es,"Freesia, Litchi, Peony, Pepper","Lily-of-the-valley, Magnolia, Violet Root","Powdery Notes, Cedar, White Musk"
Spring Bloom,Brocard,"Citruses, Green Notes, Watery Notes, Mint","Peony, Apple, Rose, Lily-of-the-valley, Plum","Musk, Woody Notes, Amber"
Laaurora,Ricardo Ramos Perfumes De Autor,"Bergamot, Cardamom, Violet","Turkish Rose, Atlas Cedar, Carnation","Olibanum, Gurjan Balsam, Cashmere Musk"
Charming Snowdrop,Pokrovka Trading House,"Freesia, Pepper","Snowdrops, Jasmine, Bulgarian Rose","Incense, Sandalwood"
Desir Infini,Navitus Parfums,"Italian Lemon, Red Fruits","Geranium, Saffron","Woodsy Notes, Oud, Leather, Smoke, Amber"
Cafe,Franck Boclet,"Coffee, Bergamot, Lemon","Lily, Rosemary, Orange Blossom, Rose","Moss, Patchouli, Sandalwood, Vanilla, Amber, Cedar, Vetiver"
1 Million,Paco Rabanne,"Blood Orange, Grapefruit, Mint","Cinnamon, Spices, Rose","Leather, Amber, White Woods, Patchouli"
Erato,Brocard,"Coriander, Lemon, Orange","Strawberry, Violet, Spun Sugar, Raspberry","Vanilla, Musk, Sandalwood, Palisander Rosewood, Tolu Balsam, Amber"
New Look 2024,Dior,Aldehydes,Frankincense,Amber
Morayma,Ricardo Ramos Perfumes De Autor,"Fig Leaf, Guava, Coriander, Grapefruit","Gardenia, Jasmine, Magnolia, Chamomile, Narcissus","Musk, Hay, Orris Root"
Flowers,Franck Boclet,"Basil, Lime, Bergamot","Lily-of-the-valley, Neroli, Tuberose, Rose","Ylang-ylang, Musk, Sandalwood"
Popper Pop,Filippo Sorcinelli,"Sweet Almond, Red Apple, Mint, Nashi Pear","Orchid, Magnolia, Davana, Pitosporum",Woody Notes
Kaorishiro,Dilis Parfum,"Lemon Verbena, Jasmine","Hyacinth, Musk, Lemon","Galbanum, Cedar, Moss"
Lesnaa Malina I Dusica Wild Raspberries and Oregano,Brocard,"Raspberry, Watery Notes, Wild Strawberry","Rose Hip, Violet","Caramel, Musk, Oakmoss"
Collection Privee Brise D Amour,Faberlic,"Neroli, Rose Hip, Pineapple, Green Apple, Jasmine, Galbanum","Freesia, Iris, Lily, Lily-of-the-valley, Rose","Musk, Amber, Vanilla, Apricot"
Roma Eau De Toilette Rosa,Laura Biagiotti,"Wild Berries, Bergamot","Rose, Jasmine, Peony, Neroli","Vanilla, Musk, Sandalwood"
Campus,Molinard,"Pineapple, Apple, Lemon","Geranium, Lavender, Sandalwood","Patchouli, Amberwood, Musk"
Veneno,Miguel Matos,"Narcissus, Cypriol Oil or Nagarmotha, Saffron, Osmanthus","Cade Oil, Civet, Patchouli, Lily-of-the-valley, Amber, Rose","Peru Balsam, Costus, Musk, Ambrette (musk Mallow), Oakmoss, Tonka Bean"
Slightly B Tch,Filippo Sorcinelli,"Leather, Clementine, Mint, Bitter Orange, Green Almond","Ylang-ylang, Artemisia, Hawthorn, Labdanum","Cedar, Pine Tree"
