No,ID_Perfume,perfume,brand,top notes,mid notes,base notes,is_lokal
1,HRMN-0001,glitch,mykonos,"sicilian bergamot, apple, grapefruit, charred pineapple.","Lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine.","white musk, cedarwood, moss, amber, patchouli, smoky notes.",TRUE
2,HRMN-0002,invade,mykonos,"pink pepper, lavender absolute, juniper.","cashmeran, cinnamon bark, caramel.","amber, madagascar vanilla, drywoods.",TRUE
3,HRMN-0003,Cafe Drops,mykonos,"Orchid, Jasmine, coffee","Vanilla, Caramel, Tonka Bean, Milk","Amber, Musk, Wood, Patchouli",TRUE
4,HRMN-0004,Pink Drops,mykonos,"Strawberry Preserve, Almond, Caramel","Milk, Heliotrope","Vanilla, White musk",TRUE
5,HRMN-0005,Pandan Sticky Rice,mykonos,"Rice, Almond, Lactonic","Jasmine, Ylang ylang, Iily of the valley, Pandan","Ambery, vanilla, sandalwood",TRUE
6,HRMN-0006,Down to Earth,mykonos,"Fig, Matcha Green Tea, Bergamot, Incense, Cinnamon","Cashmere Wood, Orange, Figolide, Milky, Orcanox","Vetiver, Sandalwood, Santamanol, Cedar",TRUE
7,HRMN-0007,Tea Poetry,mykonos,"Rose, Jasmine, Ylang-Ylang","Candied fruit, Balsam, orange flower, pepper, smoked black tea","Honey, smoked black tea, Cedarwood",TRUE
8,HRMN-0008,Milk Drops,mykonos,"Floral bouquet, Milk","Milk, Green notes","Tonka bean, White musk, White wood",TRUE
9,HRMN-0009,Utopia,mykonos,"Calabrian Bergamot, White Tea, Fruits, Citrus","Iris, Jasmine Sambac, Ylang-Ylang","Cedarwood, White Musk",TRUE
10,HRMN-0010,Intimate,mykonos,"Raspberry Sorbet, Pink Pepper","Rose, Peony, Patchouli","Vanilla, Cashemere",TRUE
11,HRMN-0011,Sparkling Rose,mykonos,"Damask Rose, Orange, Geranium","May Rose, Sparkling Red Berries, Plum, Sandalwood","Patchouli, Amber, Guaiac wood, Musk",TRUE
12,HRMN-0012,Pistachio Cream Cake,mykonos,"Whipped cream accord, Pistachio, Crumble accord","Praline, Ice Cream","Orcanox, Musk, Tonka bean",TRUE
13,HRMN-0013,Paradise,mykonos,"Coconut, Mandarin Orange, Pear, Pineapple","Frangipani, Jasmine, Lily","Amber, Vanilla, Woody",TRUE
14,HRMN-0014,Musk Aura,mykonos,"Bergamot, Yuzu, Apple","Lily of the Valley, Sambac Jasmine, Ylang-ylang","Amber, Musk, Citrus, Nectarine",TRUE
15,HRMN-0015,Rouge,mykonos,"Green pear, Lemon blossom","Lily of the valley, Ambrette, Violet, Orris","Orcanox , Musks",TRUE
16,HRMN-0016,Sansa,mykonos,"Moss, Peach, Black Tea, Osmanthus.","Rose, Tuberose, Narcissus, Toffee.","Cedarwood, Orris Root, Vetiver, Dark Chocolate.",TRUE
17,HRMN-0017,Aphrodite,mykonos,"Jasmine, Burnt Cinnamon, Myrrh","Cedarwood, tonka bean, sandalwood","White musk, tobac, Vanilla, Mineral amber",TRUE
18,HRMN-0018,Caramel Fudge,mykonos,"Cookie Dough, Caramel, Vanilla","Caramel, Condensed Milk, Sea Salt","White Musk, Vanilla, Caramel, Praline",TRUE
