ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0001,glitch,mykonos,True,"sicilian bergamot, apple, grapefruit, charred pineapple., lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine., white musk, cedarwood, moss, amber, patchouli, smoky notes."
HRMN-0002,invade,mykonos,True,"pink pepper, lavender absolute, juniper., cashmeran, cinnamon bark, caramel., amber, madagascar vanilla, drywoods."
HRMN-0003,Cafe Drops,mykonos,True,"orchid, jasmine, coffee, vanilla, caramel, tonka bean, milk, amber, musk, wood, patchouli"
HRMN-0004,Pink Drops,mykonos,True,"strawberry preserve, almond, caramel, milk, heliotrope, vanilla, white musk"
HRMN-0005,Pandan Sticky Rice,mykonos,True,"rice, almond, lactonic, jasmine, ylang ylang, iily of the valley, pandan, ambery, vanilla, sandalwood"
HRMN-0006,Down to Earth,mykonos,True,"fig, matcha green tea, bergamot, incense, cinnamon, cashmere wood, orange, figolide, milky, orcanox, vetiver, sandalwood, santamanol, cedar"
HRMN-0007,Tea Poetry,mykonos,True,"rose, jasmine, ylang-ylang, candied fruit, balsam, orange flower, pepper, smoked black tea, honey, smoked black tea, cedarwood"
HRMN-0008,Milk Drops,mykonos,True,"floral bouquet, milk, milk, green notes, tonka bean, white musk, white wood"
HRMN-0009,Utopia,mykonos,True,"calabrian bergamot, white tea, fruits, citrus, iris, jasmine sambac, ylang-ylang, cedarwood, white musk"
HRMN-0010,Intimate,mykonos,True,"raspberry sorbet, pink pepper, rose, peony, patchouli, vanilla, cashemere"
HRMN-0011,Sparkling Rose,mykonos,True,"damask rose, orange, geranium, may rose, sparkling red berries, plum, sandalwood, patchouli, amber, guaiac wood, musk"
HRMN-0012,Pistachio Cream Cake,mykonos,True,"whipped cream accord, pistachio, crumble accord, praline, ice cream, orcanox, musk, tonka bean"
HRMN-0013,Paradise,mykonos,True,"coconut, mandarin orange, pear, pineapple, frangipani, jasmine, lily, amber, vanilla, woody"
HRMN-0014,Musk Aura,mykonos,True,"bergamot, yuzu, apple, lily of the valley, sambac jasmine, ylang-ylang, amber, musk, citrus, nectarine"
HRMN-0015,Rouge,mykonos,True,"green pear, lemon blossom, lily of the valley, ambrette, violet, orris, orcanox , musks"
HRMN-0016,Sansa,mykonos,True,"moss, peach, black tea, osmanthus., rose, tuberose, narcissus, toffee., cedarwood, orris root, vetiver, dark chocolate."
HRMN-0017,Aphrodite,mykonos,True,"jasmine, burnt cinnamon, myrrh, cedarwood, tonka bean, sandalwood, white musk, tobac, vanilla, mineral amber"
